artist_name,album_name,genre,label,review_date,reviewer,score
Tracey Thorn,Record,Pop/R&B,Merge,"March 5, 2018",Laura Snapes,8.0
Mustard,10 Summers: The Mixtape Vol. 1,Rap,10 Summers,"August 5, 2015",Meaghan Garvey,6.3
Festival,"Come, Arrow, Come!",Not found,Language of Stone,"June 4, 2008",No reviewer found,7.7
The Game,Doctor's Advocate,Rap,Geffen,"November 14, 2006",Tom Breihan,8.1
DJ Q,Ineffable,Electronic,2 B Real,"April 16, 2014",Tim Finney,7.5
Yung Kayo,DFTK,Rap,Young Stoner Life,"February 9, 2022",Paul A. Thompson,8.2
Black Dice,Mod Prog Sic,Experimental / Rock,FourFour,"October 7, 2021",Dave Segal,7.4
No artist found,No album name found,Experimental / Jazz,Not found,"February 20, 2020",Andy Beta,8.0
Lucky Soul,A Coming of Age,Pop/R&B,Ruffa Lane,"April 20, 2010",Marc Hogan,6.4
ADULT.,Becoming Undone,Electronic,Dais,"February 28, 2022",Jesse Dorris,7.8
Capitol K,Nomad Junk,Electronic,Faith and Industry,"February 20, 2006",Jason Crock,6.7
No artist found,Monsieur Gainsbourg Revisited,Not found,Barclay,"April 27, 2006",Jess Harvell,5.4
Dream Unending,Song of Salvation,Metal,20 Buck Spin,"November 15, 2022",Sam Sodomsky,8.5
Luthorist,Hueco Mundo,Rap,NUXSENSE,"February 1, 2019",Dean Van Nguyen,7.4
William Basinski,The Disintegration Loops I-IV,Experimental,2062,"April 8, 2004",Joe Tangari,9.4
Billy Mahonie,The Big Dig,Rock,Beggars Banquet / Too Pure,"February 22, 2000",Mark Richardson,6.5
Tall Friend,Safely Nobody’s,Rock,Exploding in Sound,"August 15, 2017",Evan Rytlewski,6.8
Ben Harper,Diamonds on the Inside,Rock,Virgin,"April 21, 2003",Amanda Petrusich,6.5
Weird Weeds,Weird Feelings,Not found,Sounds Are Active,"August 2, 2006",John Motley,5.7
Fucked Up,Dose Your Dreams,Rock / Metal,Merge,"October 8, 2018",Ian Cohen,7.3
Matmos,Ultimate Care II,Experimental,Thrill Jockey,"February 18, 2016",Chris Randle,7.8
Erica Eso,192,Rock,Hausu Mountain,"April 29, 2022",Jude Noel,7.5
Pile,Green and Gray,Rock,Exploding in Sound,"May 3, 2019",Zach Schonfeld,7.9
The Dismemberment Plan,Uncanney Valley,Rock,Partisan,"October 16, 2013",Paul Thompson,4.5
Stern,Bone Turquoise,Rock,New Atlantis,"August 14, 2015",Grayson Haver Currin,6.7
Quasi,The Sword of God,Experimental / Rock,Touch and Go,"September 7, 2001",Matt LeMay,6.0
Alamaailman Vasarat,Käärmelautakunta,Electronic / Rock,Silence,"October 6, 2003",Dominique Leone,8.1
Wavves,You’re Welcome,Rock,Ghost Ramp,"May 24, 2017",Nina Corcoran,6.0
Barbara Manning,In New Zealand,Rock,Communion,"December 7, 1999",No reviewer found,7.0
The Black Ryder,"Buy the Ticket, Take the Ride",Rock,Mexican Summer,"February 24, 2011",Ian Cohen,5.6
SRSQ,Unreality,Electronic,Dais,"October 29, 2018",Larry Fitzmaurice,6.9
Kites,Peace Trials,Experimental / Rock,Load,"January 2, 2006",No reviewer found,7.7
Rauw Alejandro,"Trap Cake, Vol. 2",Pop/R&B / Rap,Sony Music Latin,"March 10, 2022",Matthew Ismael Ruiz,7.2
Moris Tepper,Head Off,Folk/Country / Rock,Candlebone,"September 22, 2004",Johnny Loftus,7.5
Human Eye,4: Into Unknown,Electronic / Experimental / Rock,Goner,"May 30, 2013",Evan Minsker,6.7
Chicks on Speed,Will Save Us All,Electronic / Pop/R&B,Mego,"May 23, 2000",Mark Richardson,7.3
No artist found,No album name found,Electronic,Not found,"February 11, 2014",Marc Masters,6.9
Rauw Alejandro,Vice Versa,Pop/R&B / Rap,Sony Music Latin,"July 12, 2021",Matthew Ismael Ruiz,7.2
No artist found,No album name found,Rock,Not found,"October 20, 2008",Mike Powell,7.8
Zayn,Icarus Falls,Pop/R&B,RCA,"December 18, 2018",Maura Johnston,6.4
Foals,Antidotes,Rock,Sub Pop / Transgressive,"April 10, 2008",Tom Ewing,5.9
Jana McCall,Slumber,Not found,Up,"July 30, 2002",Eric Carr,7.4
The Men,New York City,Rock,Fuzz Club,"February 6, 2023",Zach Schonfeld,7.1
The Deadly Snakes,Ode to Joy,Electronic / Rock,In the Red,"September 21, 2003",Amanda Petrusich,8.5
Ativin,Night Mute,Rock,Secretly Canadian,"March 22, 2004",Christopher Weber,5.5
Dear Nora,Three States: Rarities 1997-2007,Rock,Orindal,"October 28, 2020",Quinn Moreland,7.6
No artist found,The Roots of Dubstep,Not found,Tempa,"January 30, 2007",Jess Harvell,7.9
100 gecs,"10,000 gecs",Experimental / Electronic,Dog Show / Atlantic,"March 16, 2023",Julianne Escobedo Shepherd,8.2
The Caribbean,Verse by Verse,Rock,Endearing,"January 15, 2001",No reviewer found,7.8
Sam Gendel,Satin Doll,Jazz,Not found,"March 17, 2020",Andy Beta,7.8
Simian Mobile Disco,Unpatterns,Electronic,Wichita,"May 22, 2012",Jess Harvell,6.2
Lucinda Williams,The Ghosts of Highway 20,Folk/Country,Highway 20,"February 1, 2016",Grayson Haver Currin,8.0
TOBACCO,Ripe & Majestic,Electronic,Rad Cult,"August 22, 2017",Saby Reyes-Kulkarni,7.7
No artist found,The Record Shop: 30 Years of Rough Trade Shops,Not found,V2,"October 30, 2006",Nitsuh Abebe,6.5
Blues Control,Local Flavor,Experimental / Rock,Siltbreeze,"July 24, 2009",Joe Colly,6.4
Partner,In Search of Lost Time,Rock,You’ve Changed,"September 12, 2017",Stuart Berman,7.5
Spur,Spur of the Moments,Electronic / Rock,Drag City,"August 3, 2010",Stuart Berman,7.0
Paul de Jong,You Fucken Sucker,Experimental,Temporary Residence Ltd.,"April 7, 2018",Daniel Martin-McCormick,5.5
Ween,The Friends EP,Experimental / Rock,Chocodog,"July 12, 2007",Adam Moerder,5.2
Lupe Fiasco,Drogas Wave,Rap,1st and 15th,"September 29, 2018",Brian Josephs,6.2
Ronnie Spector,The Last of the Rock Stars,Rock,High Coin,"June 6, 2006",Marc Hogan,3.7
Bell Biv Devoe,Poison,Pop/R&B,MCA,"July 29, 2018",Brendan Frederick,7.4
No artist found,Inès,Not found,Clown & Sunset,"February 1, 2011",Tim Finney,7.7
Oxes,Oxxxes,Experimental / Metal / Rock,Monitor,"July 14, 2002",Eric Carr,6.8
Walt McClements,A Hole in the Fence,Experimental,American Dreams,"August 18, 2021",Jonathan Williger,6.8
Bruces,The Shining Path,Not found,Misra,"August 12, 2004",Stephen M. Deusner,7.3
Local Natives,Hummingbird,Rock,Frenchkiss / Infectious,"January 28, 2013",Larry Fitzmaurice,8.1
Michael Jackson,The Ultimate Collection,Pop/R&B,Epic,"November 14, 2004",Tom Breihan,8.0
E-40,The History Channel,Rap,self-released,"November 27, 2012",Jayson Greene,7.8
FearDorian,FearDorian,Rap,self-released,"April 10, 2024",Dylan Green,7.4
Royal Trux,Pound for Pound,Rock,Drag City,"July 31, 2000",Mark Richardson,5.6
The Fucking Champs,VI,Rock,Drag City,"May 9, 2007",Adam Moerder,7.0
The Duke Spirit,Neptune,Electronic / Rock,You Are Here,"April 10, 2008",Adam Moerder,6.2
A$AP Ferg,Always Strive and Prosper,Rap,A$AP Worldwide / Polo Grounds Music / RCA,"April 26, 2016",Kathy Iandoli,7.3
Connan Mockasin,It’s Just Wind,Rock,Mexican Summer,"July 16, 2021",Raphael Helfand,7.0
Robert Ashley,Atalanta (Acts of God) Volume II,Experimental,Lovely,"August 13, 2010",Mike Powell,7.9
No artist found,The Virgin Suicides,Not found,Emperor Norton,"May 12, 2000",Mark Richardson,4.8
The Horse's Ha,Of the Cathmawr Yards,Not found,Hidden Agenda,"July 23, 2009",Matthew Solarski,6.8
Neurosis,Live at Roadburn 2007,Metal,Neurot,"September 9, 2010",Jess Harvell,6.5
The Dandy Warhols,Welcome To The Monkey House,Electronic / Rock,Capitol,"July 16, 2003",Andrew Bryant,3.3
Shinichi Atobe,Heat,Electronic,DDS,"September 19, 2018",Kevin Lozano,8.0
Wu-Tang Clan,The Saga Continues,Rap,Entertainment One,"October 21, 2017",Sheldon Pearce,4.5
Little Simz,AGE 101: DROP X,Rap,self-released,"January 21, 2016",Britt Julious,7.4
Future Islands,As Long As You Are,Rock,4AD,"October 14, 2020",Sophie Kemp,6.1
No artist found,No album name found,Experimental,Not found,"November 14, 2016",Seth Colter Walls,8.6
No artist found,No album name found,Electronic,Not found,"November 30, 2009",Mike Powell,7.4
Best Coast,Fade Away,Rock,Jewel City,"October 21, 2013",Carrie Battan,7.4
Kesha,Gag Order,Pop/R&B,Kemosabe / RCA,"May 18, 2023",Olivia Horn,7.1
No artist found,No album name found,Rock,Not found,"June 10, 2015",Stuart Berman,7.6
Francis and the Lights,"Farewell, Starlite!",Pop/R&B,KTTF,"October 6, 2016",Cameron Cook,6.4
The Soft Pink Truth,Do You Party?,Electronic,Soundslike,"February 4, 2003",Dominique Leone,8.4
The Rakes,Klang,Electronic / Rock,V2,"December 11, 2009",Jason Crock,6.1
RiFF RAFF,NEON iCON,Rap,Mad Decent,"June 27, 2014",David Drake,5.4
Sonic Youth,NYC Ghosts & Flowers,Rock,Geffen,"April 30, 2000",Brent DiCrescenzo,0.0
Rome Fortune,Jerome Raheem Fortune,Rap,Fool’s Gold,"February 29, 2016",Sheldon Pearce,7.0
Crystal Castles,Crystal Castles,Electronic,Last Gang,"March 17, 2008",Ian Cohen,7.8
Catheters,Howling... It Grows and Grows!!!,Not found,Sub Pop,"June 29, 2004",Amanda Petrusich,6.6
Chain and the Gang,Music's Not For Everyone,Rock,K,"April 26, 2011",Eric Grandy,6.6
Electronicat,Voodoo Man,Electronic,Disko B,"August 16, 2005",Nitsuh Abebe,5.1
Gucci Mane,The Appeal: Georgia's Most Wanted,Rap,Warner Bros. / Asylum / 1017 Brick Squad,"November 1, 2010",David Drake,7.3
Whitney,Light Upon the Lake,Rock,Secretly Canadian,"June 6, 2016",Matthew Schnipper,8.3
Jessica Pavone,Lull,Jazz,Chaikin,"October 26, 2021",Jonathan Williger,7.4
Starchild & the New Romantic,Language,Pop/R&B,Ghostly International,"February 26, 2018",Matthew Ismael Ruiz,7.2
Modern Skirts,Gramahawk,Rock,self-released,"March 3, 2011",Ian Cohen,4.8
The Fall,Imperial Wax Solvent,Rock,Castle,"July 11, 2008",Joe Tangari,7.5
Leyland Kirby,Breaks My Heart Each Time,Electronic / Rock,Apollo,"February 18, 2014",Nick Neyland,7.2
Delia Derbyshire,Circle of Light,Electronic,Trunk,"August 5, 2016",Thea Ballard,7.2
Imaginary Softwoods,Imaginary Softwoods,Not found,Digitalis,"January 14, 2011",Philip Sherburne,7.7
Mo Kolours,How I (Rhythm Love Affair) EP,Rap,One Handed,"March 12, 2015",Marcus J. Moore,5.8
Dot Allison,Heart-Shaped Scars,Folk/Country,SA,"August 3, 2021",Ben Cardew,6.9
Aminé,ONEPOINTFIVE,Rap,Republic,"August 21, 2018",Sheldon Pearce,6.0
No artist found,Tliltic Tlapoyauak,Not found,The Ajna Offensive,"September 10, 2014",Kim Kelly,6.6
Azeda Booth,In Flesh Tones,Electronic / Experimental / Pop/R&B,Absolutely Kosher,"August 26, 2008",Brian Howe,7.9
Amyl and the Sniffers,Amyl and the Sniffers,Rock,ATO / Rough Trade / Flightless,"May 24, 2019",Stephen Thomas Erlewine,7.2
Charlotte Adigéry,Zandoli EP,Experimental,DEEWEE / PIAS,"February 13, 2019",Eric Torres,7.8
No artist found,"Listen, Whitey! The Sounds of Black Power 1967-1974",Not found,Light in the Attic,"March 27, 2012",Stephen M. Deusner,8.0
Let’s Eat Grandma,"I, Gemini",Pop/R&B,Transgressive,"June 30, 2016",Saby Reyes-Kulkarni,7.3
Princess Chelsea,The Great Cybernetic Depression,Pop/R&B,Flying Nun / Lil' Chief,"June 16, 2015",Sasha Geffen,6.6
Com Truise,Galactic Melt,Electronic,Ghostly International,"July 5, 2011",Mark Pytlik,7.3
brakence,hypochondriac,Rock,Columbia,"December 15, 2022",H.D. Angel,7.3
Wishmountain,Tesco,Not found,Norman,"August 8, 2012",Jess Harvell,6.3
Toumani Diabaté,The Mande Variations,Folk/Country / Global / Pop/R&B,World Circuit,"April 15, 2008",Joshua Klein,8.3
Headset,Spacesettings,Electronic,Plug Research,"June 29, 2004",Nick Sylvester,3.2
Andrea,Ritorno,Electronic,Ilian Tape,"April 14, 2020",Shawn Reynaldo,7.8
Electric Six,Switzerland,Electronic / Rock,Metropolis,"November 10, 2006",Adam Moerder,4.9
Idiot Pilot,Strange We Should Meet Here,Metal / Rock,Reprise,"May 24, 2005",Adam Moerder,3.5
Collections of Colonies of Bees,Birds,Rock,Table of the Elements / Radium,"April 7, 2008",No reviewer found,7.8
Kelly Moran,Moves in the Field,Experimental,Warp,"March 29, 2024",Vanessa Ague,7.8
Beak>,Beak>,Rock,Ipecac / Invada,"October 30, 2009",Jess Harvell,6.9
No artist found,No album name found,Experimental / Rock,Not found,"December 12, 2006",Jason Crock,7.1
Stephin Merritt,Eban and Charley,Rock,Merge,"February 4, 2002",Matt LeMay,7.3
Destroyer,We'll Build Them a Golden Bridge,Rock,Tinker,"November 8, 2006",William Bowers,6.5
Elvis Depressedly,New Alhambra,Rock,Orchid Tapes / Run for Cover,"May 12, 2015",Colin Joyce,7.3
Move D,Building Bridges,Electronic,Aus,"July 8, 2019",Ben Cardew,7.4
Datsuns,Outta Sight/Outta Mind,Not found,V2,"August 23, 2004",Stephen M. Deusner,4.0
Foxygen,Take The Kids Off Broadway,Rock,Jagjaguwar,"July 23, 2012",Steven Hyden,7.9
Young Widows,Settle Down City,Metal,Jade Tree,"February 9, 2007",Jason Crock,7.8
Tim Hecker,Anoyo,Experimental,Kranky,"May 10, 2019",Nathan Reese,7.8
Calvin Johnson,Gallows Wine,Rock,K,"April 10, 2023",Evan Rytlewski,6.8
Mach-Hommy,Bulletproof Luh,Rap,Bad Taste,"February 20, 2018",Sheldon Pearce,7.4
R.A.P. Ferreira,5 to the Eye With Stars,Rap,Ruby Yacht,"November 15, 2022",Stephen Kearse,7.5
Tennis,Pollen,Rock,Mutually Detrimental,"February 13, 2023",Adlan Jackson,6.7
Glassine,No Stairway,Experimental,Patient Sounds,"August 20, 2015",Jayson Greene,7.2
The Berg Sans Nipple,Build With Erosion,Electronic,Team Love,"March 11, 2011",Larry Fitzmaurice,7.0
She & Him,Melt Away: A Tribute to Brian Wilson,Rock,Fantasy,"July 27, 2022",Stephen M. Deusner,5.6
Soccer Mommy,Clean,Rock,Fat Possum,"March 5, 2018",Jenn Pelly,8.4
Jon Hopkins,Asleep Versions EP,Electronic,Domino,"November 10, 2014",Patric Fallon,7.4
Drake,For All the Dogs,Rap,OVO Sound / Republic,"October 9, 2023",Julianne Escobedo Shepherd,6.5
Pépe,Reclaim,Electronic,Lapsus,"April 7, 2023",Jayson Greene,7.6
Moonface,Julia with Blue Jeans On,Rock,Jagjaguwar / Paper Bag,"November 12, 2013",Paul Thompson,7.7
Freakwater,End Time,Rock,Thrill Jockey,"September 7, 1999",No reviewer found,5.5
Pulp,We Love Life,Rock,Island,"December 12, 2001",Joe Tangari,8.2
Hayden Pedigo,The Happiest Times I Ever Ignored,Rock,Mexican Summer,"July 5, 2023",Rob Arcand,7.4
No artist found,Kanye West Presents: GOOD Music - Cruel Summer,Not found,G.O.O.D. Music / Def Jam,"September 18, 2012",Jayson Greene,6.5
Fovea Hex,Bloom EP,Electronic,Die Stadt / Janet,"March 23, 2006",Matthew Murphy,7.6
Fat Trel,Nightmare on E Street,Rap,self-released,"April 10, 2012",Jayson Greene,7.4
Yeasayer,Odd Blood,Electronic / Rock,Secretly Canadian,"February 11, 2010",Scott Plagenhoef,6.1
Pangaea,Changing Channels,Electronic,Hessle Audio,"October 6, 2023",Philip Sherburne,8.3
No artist found,"Work Hard, Play Hard, Pray Hard: Hard Time, Good Time & End Time Music, 1923-1936",Not found,Tompkins Square,"November 12, 2012",Grayson Haver Currin,8.3
Foo Fighters,The Colour and the Shape [10th Anniversary Special Edition],Rock,Capitol,"August 1, 2007",Stuart Berman,5.8
Lumbar,The First And Last Days Of Unwelcome,Not found,Southern Lord,"December 13, 2013",Grayson Haver Currin,7.7
Matt Valentine and Erika Elder,Ragas & Blues,Not found,Idea,"March 20, 2005",Nick Sylvester,7.9
Amanda Palmer,Who Killed Amanda Palmer,Rock,Roadrunner,"September 19, 2008",Joshua Klein,7.4
David Sylvian,A Victim of Stars: 1982-2012,Rock,Virgin,"February 28, 2012",Nick Neyland,8.2
Royal City,Royal City,Rock,Asthmatic Kitty,"July 2, 2009",Andrew Gaerig,6.7
"¡Forward, Russia!",Give Me a Wall,Electronic / Rock,Mute / Dance to the Radio,"August 1, 2006",Stuart Berman,6.2
Moontype,Bodies of Water,Rock,Born Yesterday,"April 5, 2021",Steven Arroyo,7.6
Parlour,Hives Fives EP,Rock,Temporary Residence Ltd.,"May 6, 2005",Matthew Murphy,7.3
Tha God Fahim,Tha Wolf on Wall St,Rap,self-released,"February 4, 2021",Dylan Green,7.2
Nadja,When I See the Sun Always Shines on TV,Electronic / Metal / Rock,The End,"May 13, 2009",Jayson Greene,8.0
No artist found,No album name found,Rock,Not found,"September 23, 2020",Stephen Thomas Erlewine,8.0
Madlib,Shades of Blue: Madlib Invades Blue Note,Rap,Blue Note,"August 12, 2003",No reviewer found,8.6
Iceage,New Brigade,Rock,What's Your Rupture?,"June 29, 2011",David Bevan,8.4
Dryad,The Abyssal Plain,Metal,Prosthetic,"February 6, 2023",Joshua Minsoo Kim,7.4
Handsome Boy Modeling School,White People,Rap,Elektra,"November 18, 2004",Jamin Warren,6.6
Gorillaz,The Fall,Electronic / Rock,EMI,"January 6, 2011",Stephen M. Deusner,5.8
Client,Heartland,Electronic / Pop/R&B,Metropolis,"July 31, 2007",Nitsuh Abebe,6.0
Joywave,Content,Rock,Hollywood / Cultco,"August 4, 2017",Saby Reyes-Kulkarni,5.9
Daniel Bachman,Daniel Bachman,Folk/Country,Three Lobed,"November 22, 2016",Marc Masters,7.3
Jeffrey Lewis & the Jitters,City & Eastern Songs,Not found,Rough Trade,"October 3, 2006",Marc Hogan,6.5
MONEY,Suicide Songs,Rock,Bella Union,"January 28, 2016",T. Cole Rachel,7.7
PC Worship,Buried Wish,Rock,Northern Spy,"March 3, 2017",Raymond Cummings,7.3
The Uglysuit,The Uglysuit,Rock,Quarterstick,"December 11, 2008",No reviewer found,4.8
Jesu,Silver EP,Metal / Rock,Hydra Head,"May 4, 2006",Brandon Stosuy,7.9
Eef Barzelay,Bitter Honey,Rock,spinART,"March 19, 2006",Stephen M. Deusner,7.2
Bob Mould,District Line,Rock,Anti-,"February 18, 2008",Ben Westhoff,6.3
Art Bears,Art Box,Experimental / Rock,Recommended,"March 22, 2004",Dominique Leone,9.0
No artist found,"21st Century, 21st Year",Not found,Luaka Bop,"June 1, 2009",Joshua Klein,6.0
Empress Of,For Your Consideration,Pop/R&B,Giant Music,"March 26, 2024",Eric Torres,8.3
Flora Yin-Wong,Holy Palm,Electronic / Experimental,Modern Love,"December 2, 2020",Philip Sherburne,7.3
Dan Deacon,Spiderman of the Rings,Electronic,Carpark,"May 11, 2007",Jess Harvell,8.7
Stone Temple Pilots,Tiny Music… Songs From the Vatican Gift Shop (Super Deluxe Edition),Rock,Rhino,"July 24, 2021",Sadie Sartini Garner,7.4
SPAZA,UPRIZE!,Jazz,Mushroom Hour Half Hour,"October 15, 2020",Andy Beta,7.8
Electric Light Orchestra,Out of the Blue,Rock,Epic,"March 1, 2007",Rob  Mitchum,8.1
Brandy Clark,Brandy Clark,Folk/Country,Warner,"May 23, 2023",Stephen M. Deusner,6.8
Jon Langford,All the Fame of Lofty Deeds,Folk/Country / Rock,Bloodshot,"June 6, 2004",Stephen M. Deusner,8.4
Arca,&&&&&,Experimental,Pan,"September 21, 2020",Emilie Friedlander,8.4
David Bowie,The ‘Mercury’ Demos,Rock,Rhino,"July 10, 2019",Chris O’Leary,7.1
Madeleine Cocolas,Spectral,Experimental,Room40,"July 20, 2022",Vanessa Ague,7.2
No artist found,Living Bridge,Not found,Rare Book Room,"February 25, 2008",Marc Masters,7.9
Wolfie,Where's Wolfie?,Rock,Parasol / Mud,"March 23, 1999",Brent DiCrescenzo,0.2
Nickel Eye,The Time of the Assassins,Rock,Ryko,"February 4, 2009",Joshua Klein,5.2
Cheap Trick,Budokan!,Rock,Epic,"November 19, 2008",Stuart Berman,6.5
Hemlocke Springs,Going...Going...Gone! EP,Pop/R&B,AWAL,"October 6, 2023",Jaeden Pinder,7.1
Hiss Golden Messenger,Quietly Blowing It,Folk/Country,Merge,"June 30, 2021",Stephen M. Deusner,5.5
Samara Lubelski,Spectacular of Passages,Experimental / Rock,Social Registry,"January 26, 2006",Brandon Stosuy,6.5
The Mantles,Long Enough to Leave,Rock,Slumberland,"June 20, 2013",Marc Masters,7.5
Sufjan Stevens,All Delighted People EP,Folk/Country,Asthmatic Kitty,"September 7, 2010",Ian Cohen,7.6
Gregg Bendian,Interstellar Space Revisited: The Music of John Coltrane,Jazz / Experimental,Atavistic,"June 8, 1999",Brent S. Sirota,7.9
Naaahhh,Themes,Electronic,Blackest Ever Black,"January 21, 2017",Louis Pattison,6.2
Methods Body,Methods Body,Experimental,Beacon Sound / New Amsterdam,"May 30, 2020",Philip Sherburne,7.1
!!!,Louden Up Now,Rock,Touch and Go,"June 7, 2004",Nick Sylvester,7.0
John Vanderslice,Cellar Door,Rock,Barsuk,"January 20, 2004",Matt LeMay,7.9
Superfície,Hélices EP,Electronic,Salviatek,"January 10, 2017",Alexander Iadarola,7.6
Wiz Khalifa,O.N.I.F.C.,Rap,Atlantic / Rostrum,"December 13, 2012",Jordan Sargent,4.8
No artist found,Miracle Steps (Music From the Fourth World 1983-2017),Not found,Optimo Music,"April 15, 2017",Andy Beta,8.3
The Nels Cline Singers,Initiate,Experimental / Jazz,Cryptogramophone,"April 16, 2010",Joe Tangari,7.2
Mykki Blanco,Cosmic Angel: The Illuminati Prince/ss,Rap,UNO,"November 16, 2012",Carrie Battan,6.8
Karl Blau,Clothes Your I's,Folk/Country,Knw-Yr-Own,"March 30, 2003",Brandon Stosuy,8.0
Jens Lekman,An Argument With Myself,Rock,Secretly Canadian / Service,"September 22, 2011",Brian Howe,7.9
Arthur Russell,Instrumentals,Experimental,Audika,"April 1, 2017",Seth Colter Walls,8.4
Alela Diane,About Farewell,Rock,Rusted Blue,"July 18, 2013",Steven Hyden,7.3
Helena Deland,Someone New,Experimental / Folk/Country,Luminelle,"October 21, 2020",Sophie Kemp,7.9
Massive Attack,Atlas Air EP,Electronic,Virgin / The Vinyl Factory,"November 22, 2010",Jess Harvell,5.0
Midnight Sister,Painting the Roses,Rock,Jagjaguwar,"January 29, 2021",Madison Bloom,7.0
Puerto Muerto,Songs of Muerto County,Rock,Fire,"July 13, 2005",Stephen M. Deusner,7.3
Polysics,Polysics or Die!!! Vista,Electronic / Rock,MySpace,"January 2, 2008",Adam Moerder,5.0
Espers,Espers,Rock,Locust,"February 12, 2004",Hartley Goldstein,8.4
Talib Kweli,Quality,Rap,MCA / Rawkus,"December 10, 2002",No reviewer found,9.1
Nirvana,Incesticide,Rock,DGC,"July 1, 2018",Jenn Pelly,8.7
Macklemore,Ben,Rap,Bendo,"March 9, 2023",Matthew Ismael Ruiz,6.0
All Girl Summer Fun Band,Looking Into It,Rock,AGSFB Music,"September 23, 2008",No reviewer found,7.3
Greg Davis,Mutually Arising,Electronic,Kranky,"July 22, 2009",Andrew Gaerig,5.7
Pete Swanson,Punk Authority EP,Experimental / Rock,Software,"March 8, 2013",Nick Neyland,7.5
Broadcast,Tender Buttons,Electronic,Warp,"September 18, 2005",David Raposa,7.5
Leonard Cohen,The Future,Rock,Columbia,"February 26, 2023",Marc Hogan,8.8
Zannie,How Do I Get That Star,Rock,Kill Rock Stars,"August 24, 2022",Margaret Farrell,7.2
Tim Presley,The Wink,Rock,Drag City,"September 15, 2016",Laura Snapes,7.8
Justin Timberlake,Everything I Thought It Was,Pop/R&B,RCA,"March 20, 2024",Owen Myers,4.9
Little Wings,Soft Pow'r,Rock,Rad,"October 31, 2007",Jason Crock,7.1
