artist_name,album_name,genre,label,review_date,reviewer,score
Archer Prewitt,Gerroa Songs,Rock,Carrot Top,"November 28, 2000",No reviewer found,7.3
The Constellations,Southern Gothic,Rock,Virgin,"June 22, 2010",Stuart Berman,4.4
No artist found,The Powerpuff Girls: Heroes & Villains,Not found,Rhino,"June 30, 2000",Ryan Schreiber,6.3
Action Bronson,Blue Chips 7000,Rap,Vice / Atlantic,"August 29, 2017",Jay Balfour,7.4
Darkside,Darkside EP,Rock,Clown & Sunset,"December 9, 2011",Brian Howe,8.0
Lena Willikens,Phantom Delia EP,Electronic,Cómeme,"January 23, 2015",Philip Sherburne,7.6
Mark Ronson,Late Night Feelings,Pop/R&B,RCA,"June 28, 2019",Peyton Thomas,7.2
Mannequin Pussy,Patience,Rock,Epitaph,"June 24, 2019",Quinn Moreland,8.4
The Moles,Flashbacks and Dream Sequences: The Story of the Moles,Not found,Fire,"April 29, 2014",Matt LeMay,8.0
Captain Murphy,Duality,Rap,self-released,"December 7, 2012",Ian Cohen,8.0
No artist found,No album name found,Rock,Not found,"March 16, 2016",Jesse Jarnow,7.6
Bill Orcutt,A History of Every One,Experimental,Editions Mego,"October 14, 2013",Marc Masters,7.8
Add N to (X),Loud Like Nature,Electronic / Experimental,Mute,"November 21, 2002",Mark Richardson,6.8
Konx-om-Pax,Caramel,Electronic,Planet Mu,"July 18, 2016",Andy Beta,7.4
MHD,19,Rap,Motown / Artside / Polydor,"September 25, 2018",Jonah Bromwich,7.5
Kasabian,Kasabian,Electronic / Rock,RCA / BMG,"November 23, 2004",Johnny Loftus,5.2
Mus,El Naval,Rock,Darla,"October 6, 2002",Christopher Dare,7.3
Militarie Gun,All Roads Lead to the Gun (Deluxe),Rock,Loma Vista,"December 8, 2022",Nina Corcoran,7.4
Plane,Hello More,Electronic,Dirigeable,"May 24, 2005",Brian Howe,6.2
The Men,Tomorrow's Hits,Rock,Sacred Bones,"March 4, 2014",Ian Cohen,7.2
JJ,jj n° 2,Electronic / Rock,Sincerely Yours,"July 17, 2009",Marc Hogan,8.6
Wiki,OOFIE,Rap,Wikset Enterprise,"November 16, 2019",Matthew Ismael Ruiz,7.4
No artist found,Stubbs the Zombie OST,Not found,Shout! Factory,"November 29, 2005",Marc Hogan,6.9
Ween,The Friends EP,Experimental / Rock,Chocodog,"July 12, 2007",Adam Moerder,5.2
!!!,Myth Takes,Rock,Warp,"March 2, 2007",Brian Howe,8.0
DJ Shadow,Endtroducing... [Deluxe Edition],Electronic,Mo'Wax,"June 9, 2005",Chris Dahlen,10
No artist found,No album name found,Rock,Not found,"January 15, 2010",Jess Harvell,6.9
Busdriver,The Weather,Rap / Electronic / Jazz,Mush,"February 18, 2003",Julianne Escobedo Shepherd,8.5
Daniel Caesar,Never Enough,Pop/R&B,Republic,"April 13, 2023",Heven Haile,6.6
No artist found,Johnny Cash Remixed,Not found,Compadre,"January 20, 2009",Stephen M. Deusner,0.2
Ellen Allien,Orchestra of Bubbles,Electronic,Bpitch Control,"May 3, 2006",Philip Sherburne,8.5
His Name Is Alive,Tecuciztecatl,Rock,London London,"November 5, 2014",T. Cole Rachel,7.6
XXX,Second Language,Rap,BANA,"February 27, 2019",Joshua Minsoo Kim,7.5
No artist found,No album name found,Electronic,Not found,"February 22, 2023",Chal Ravens,7.7
Jill Scott,Woman,Pop/R&B,Atlantic,"August 5, 2015",Safy-Hallan Farah,7.1
A.C. Newman,Shut Down the Streets,Rock,Matador / Last Gang / Fire,"October 10, 2012",Steven Hyden,6.8
Audion,Suckfish,Electronic,Spectral Sound,"October 12, 2005",Johnny Loftus,8.0
Four Tet,Angel Echoes Remix,Electronic,Domino,"July 29, 2010",Philip Sherburne,7.6
Thomas Fehlmann,Lowflow,Electronic,Plug Research,"January 12, 2005",Cameron Macdonald,7.4
Michael Vincent Waller,Moments,Experimental,Unseen Worlds,"October 5, 2019",Andy Beta,7.8
Bryde,The Volume of Things,Rock,Easy Life,"June 3, 2020",Hannah Jocelyn,6.5
No artist found,No album name found,Electronic,Not found,"March 13, 2014",Andy Beta,8.0
Little Brother,The Listening,Rap,ABB,"January 30, 2022",Dylan Green,8.5
The Districts,A Flourish and a Spoil,Rock,Fat Possum,"February 6, 2015",Ian Cohen,5.6
µ-Ziq,Magic Pony Ride,Electronic,Planet Mu,"June 10, 2022",Jude Noel,6.5
Adam Green,Jessica EP,Rock,Sanctuary,"October 12, 2003",John O'Connor,6.1
The Capitol Years,Jewelry Store EP,Electronic / Rock,Full Frame,"December 16, 2002",Joe Tangari,7.8
Burnt Friedman,Dead Saints Chronicles,Electronic,Marionette,"July 21, 2017",Philip Sherburne,7.8
No artist found,No album name found,Rock,Not found,"November 10, 2008",Tom Ewing,9.3
Jeremy Greenspan,Greenspan and Taraval EP,Electronic,Geej,"July 28, 2017",Thea Ballard,6.9
Efterklang,Tripper,Rock,Leaf,"December 14, 2004",Matthew Murphy,7.9
Knxwledge,WT_PRT15.,Rap,self-released,"December 17, 2019",Reed Jackson,6.9
Luke Vibert,Nuggets: Luke Vibert's Selection,Electronic,Lo,"March 5, 2002",David M. Pecoraro,7.6
Melvins,Everybody Loves Sausages,Metal / Rock,Ipecac,"May 2, 2013",Steven Hyden,6.5
Rah Bras,Whohm,Rock,Lovitt,"January 9, 2006",No reviewer found,6.8
Young Dolph,Dum and Dummer,Rap,Paper Route Empire,"August 8, 2019",Nadine Smith,7.1
The Warlocks,Surgery,Rock,Mute,"September 27, 2005",Nick Sylvester,1.7
No artist found,No album name found,Rap,Not found,"September 16, 2009",Tom Breihan,7.8
Freeway,Diamond In The Ruff,Rap,Babygrande,"November 15, 2012",Jayson Greene,5.3
Pottery,Welcome to Bobby’s Motel,Rock,Partisan,"June 5, 2020",Linnie Greene,6.7
My Chemical Romance,Three Cheers for Sweet Revenge,Rock,Reprise,"December 8, 2019",Arielle Gordon,8.2
Forest Swords,Dagger Paths [Expanded Edition],Experimental,No Pain in Pop,"December 1, 2010",Marc Masters,8.4
No artist found,Love Goes On: A Tribute to Grant McLennan,Not found,Rare Victory,"March 12, 2008",Stuart Berman,7.0
SOB X RBE,Gangin,Rap,SOB X RBE / Empire,"February 26, 2018",Paul A. Thompson,8.3
Fonica,Ripple,Electronic,Tomlab,"July 20, 2003",Mark Richardson,8.3
No artist found,Radioclit Presents: The Sound of Club Secousse,Not found,Crammed Discs,"November 12, 2010",Jess Harvell,7.3
Blonde Redhead,Sit Down for Dinner,Rock,Section1,"September 29, 2023",Stuart Berman,7.5
DAT Politics,Wow Twist,Electronic,Chicks on Speed,"May 22, 2006",Mark Richardson,7.8
Aoife O’Donovan,Age of Apathy,Folk/Country,Yep Roc,"January 24, 2022",Brad Shoup,7.3
Annuals,Frelen Mas: Be He Me B-Sides,Rock,Ace Fu,"January 8, 2008",Eric Harvey,7.0
Empress Of,Save Me EP,Pop/R&B,Major Arcana / Mtheory,"July 8, 2022",Hannah Jocelyn,6.7
Collapsar,Collapsar,Electronic,Escape Artist,"July 7, 2005",Cory D. Byrom,6.9
Vegyn,The Road to Hell Is Paved With Good Intentions,Electronic,PLZ Make It Ruins,"April 19, 2024",Dash Lewis,7.1
Young Magic,Melt,Rock,Carpark,"February 10, 2012",Ian Cohen,6.8
The War on Drugs,Wagonwheel Blues,Rock,Secretly Canadian,"July 10, 2008",Stephen M. Deusner,7.8
HEALTH,Death Magic,Rock,Loma Vista,"August 3, 2015",T. Cole Rachel,7.8
Glassine,No Stairway,Experimental,Patient Sounds,"August 20, 2015",Jayson Greene,7.2
Honey Radar,Sing the Snow Away: The Chunklet Years,Rock,Chunklet World Industries,"June 30, 2020",Marc Masters,7.4
Beach Slang,Who Would Ever Want Anything So Broken? EP,Rock,Dead Broke,"April 24, 2014",Paul Thompson,7.4
The Lonely Island,Turtleneck & Chain,Pop/R&B,Universal Republic,"May 18, 2011",Tom Breihan,7.1
Robert Plant,lullaby and... The Ceaseless Roar,Rock,Nonesuch / Warner Bros.,"September 9, 2014",Stuart Berman,7.0
Free Energy,Stuck on Nothing,Experimental / Rock,Astralwerks / DFA,"March 18, 2010",David Bevan,8.1
Sage Francis,Personal Journals,Rap,Anticon,"April 30, 2002",Chris Dahlen,8.7
Key Glock,Glockoma 2 (Deluxe),Rap,Paper Route Empire,"July 3, 2023",Nadine Smith,7.0
No artist found,No album name found,Pop/R&B,Not found,"July 5, 2012",Jayson Greene,9.0
Little Wings,Light Green Leaves,Rock,K,"July 21, 2002",No reviewer found,4.9
All Smiles,Ten Readings of A Warning,Rock,Dangerbird,"April 30, 2007",No reviewer found,6.8
Souls She Said,As Templar Nites,Rock,Dim Mak,"March 2, 2006",No reviewer found,5.4
No artist found,Radio Niger,Not found,Sublime Frequencies,"January 30, 2014",Joe Tangari,7.3
Jimi Tenor,Out of Nowhere,Electronic / Jazz,Warp,"July 25, 2000",Sean Murray,5.3
Migala,La Increíble Aventura,Rock,Acuarela,"August 29, 2004",Joe Tangari,7.8
Melvins,Basses Loaded,Metal / Rock,Ipecac,"June 6, 2016",Saby Reyes-Kulkarni,5.5
Dwarr,Starting Over,Not found,Drag City / Yoga,"November 30, 2011",Andy Beta,5.9
Young Man,Ideas of Distance,Rock,Frenchkiss,"October 5, 2011",Evan Minsker,5.5
Willie Nelson,Last of the Breed,Rock / Folk/Country,Lost Highway,"March 30, 2007",Stephen M. Deusner,6.3
David S. Ware Quartet,Surrendered,Experimental / Jazz,Columbia,"May 23, 2000",Al Shipley,5.8
Old Time Relijun,Catharsis in Crisis,Experimental / Rock,K,"October 19, 2007",Amanda Petrusich,7.9
Oneida,Nice: Splittin' Peaches EP,Rock,Ace Fu,"November 28, 2004",Matthew Murphy,7.4
Jeff Parker,Mondays at the Enfield Tennis Academy,Jazz,Eremite,"November 12, 2022",Daniel Felsenthal,8.4
Frida Hyvönen,Until Death Comes,Rock,Secretly Canadian / Licking Fingers,"October 27, 2006",Grayson Haver Currin,7.2
Young Money,We Are Young Money,Rap,Cash Money / Universal Motown / Young Money Entertainment,"January 8, 2010",Ryan Dombal,7.4
Julia Jacklin,Crushing,Rock,Polyvinyl,"February 27, 2019",Olivia Horn,7.7
M83,Oblivion OST,Electronic / Rock,Back Lot,"April 26, 2013",Brian Howe,4.5
31Knots,The Days and Nights of Everything Anywhere,Rock,Polyvinyl,"April 18, 2007",Grayson Haver Currin,4.0
Neil Young,Colorado,Rock,Reprise,"October 30, 2019",Sam Sodomsky,7.4
Caïna,Setter of Unseen Snares,Metal,Broken Limbs,"March 16, 2015",Grayson Haver Currin,7.8
Belle and Sebastian,"How to Solve Our Human Problems, Pt. 3",Rock,Matador,"February 21, 2018",Stuart Berman,7.2
Embarrassment,Blister Pop,Not found,My Pal God,"March 27, 2001",John Dark,7.3
diskJokke,En Fin Tid,Pop/R&B,Smalltown Supersound,"July 9, 2010",Brian Howe,7.2
Mary Timony,Untame the Tiger,Rock,Merge,"March 4, 2024",Sadie Sartini Garner,7.6
Múm,Smilewound,Electronic / Rock,Morr,"September 9, 2013",Brian Howe,5.7
Ben Marc,Glass Effect,Jazz,Innovative Leisure,"April 27, 2022",Kaleem Hawa,7.6
Cat Power,Jukebox,Rock,Matador,"January 21, 2008",Stephen M. Deusner,5.7
Ka Baird,Bearings: Soundtracks for the Bardos,Experimental,Rvng Intl.,"April 18, 2024",Philip Sherburne,7.9
fIREHOSE,lowFLOWs: The Columbia Anthology ('91-'93),Metal / Rock,Columbia Legacy,"April 4, 2012",Matthew Murphy,7.9
No artist found,No album name found,Rock,Not found,"February 8, 2005",David Raposa,5.4
Crystal Stilts,Nature Noir,Experimental / Rock,Sacred Bones,"September 17, 2013",Jeremy D. Larson,6.3
Delroy Edwards,Hangin’ At the Beach,Electronic,L.A. Club Resource,"August 3, 2016",Marc Masters,7.5
Lokai,Transition,Electronic,Thrill Jockey,"October 26, 2009",Philip Sherburne,7.6
Sons and Daughters,This Gift,Rock,Domino,"February 18, 2008",Joe Tangari,7.7
Dream Unending,Song of Salvation,Metal,20 Buck Spin,"November 15, 2022",Sam Sodomsky,8.5
Savoy Motel,Savoy Motel,Rock,What's Your Rupture?,"October 24, 2016",Stuart Berman,7.4
WHY?,Sod in the Seed,Rap / Rock,Anticon,"August 8, 2012",Ian Cohen,5.2
Divide and Dissolve,Systemic,Rock,Invada,"June 30, 2023",Patrick Lyons,7.8
Bambara,Love on My Mind,Rock,Wharf Cat,"March 4, 2022",Zhenzhen Yu,7.5
M. Ward,To Go Home,Rock,Merge,"February 27, 2007",Joshua Klein,5.7
Juicy J,Blue Dream & Lean,Rap,self-released,"January 17, 2012",Jordan Sargent,5.7
Show Me the Body,Survive EP,Rock,Loma Vista,"March 23, 2021",Adlan Jackson,7.7
Kendrick Lamar,untitled unmastered.,Rap,Top Dawg Entertainment,"March 8, 2016",kris ex,8.6
Stars as Eyes,Loud New Shit,Electronic,Tigerbeat6,"September 16, 2003",Brandon Stosuy,4.9
Ghostface,The Pretty Toney Album,Not found,Def Jam,"May 4, 2004",Rollie Pemberton,8.2
Gentleman Jesse & His Men,Gentleman Jesse & His Men,Pop/R&B,Douchemaster,"September 25, 2008",David Bevan,8.1
Monsters of Folk,Monsters of Folk,Rock,Shangri-La Music,"September 23, 2009",Grayson Haver Currin,6.5
Dinosaur Jr.,Farm,Rock,Jagjaguwar,"June 22, 2009",Marc Masters,8.5
Tink,Pillow Talk,Pop/R&B,Winter’s Diary / Empire,"August 25, 2022",Brady Brickner-Wood,7.2
Robert Plant,Raise the Roof,Rock / Folk/Country,Rounder,"November 19, 2021",Olivia Lane,7.3
Vattnet Viskar,Vattnet Viskar,Metal,Broken Limbs,"April 5, 2012",Grayson Haver Currin,7.9
De Novo Dahl,"Move Every Muscle, Make Every Sound",Rock,Roadrunner,"April 16, 2008",Joe Tangari,7.0
Burial,Streetlands EP,Electronic,Hyperdub,"October 27, 2022",Will Pritchard,6.9
Devendra Banhart,Oh Me Oh My...,Folk/Country / Experimental,Young God,"November 5, 2002",Dominique Leone,7.8
Michael Jackson,Dangerous,Pop/R&B,Epic,"August 7, 2016",Jeff Weiss,8.6
Sigur Rós,Ágætis byrjun,Rock,Krunk,"June 30, 2019",Jayson Greene,9.4
Yaya Bey,Exodus the North Star EP,Pop/R&B,Big Dada,"March 30, 2023",Tatiana Lee Rodriguez,7.9
Weekend,Jinx,Experimental / Rock,Slumberland,"July 25, 2013",Zach Kelly,6.9
Chris Corsano,Brace Up!,Jazz / Experimental,Palilalia,"December 6, 2018",Grayson Haver Currin,8.0
Dave Matthews Band,Come Tomorrow,Rock,RCA,"June 16, 2018",Jason P. Woodbury,5.0
LTJ Bukem,Journey Inwards,Electronic / Pop/R&B,Kinetic,"April 4, 2000",Paul Cooper,3.9
Hecker,Statistique Synthétique / Teum (the Silvery Slit),Electronic / Jazz,Portraits GRM,"March 26, 2021",Sunik Kim,6.3
Pop Smoke,Shoot for the Stars Aim for the Moon,Rap,Victor Victor Worldwide / Republic,"July 7, 2020",Alphonse Pierre,6.5
The Foreign Exchange,Connected,Electronic,BBE Music,"September 14, 2004",Jamin Warren,8.6
The Dead C,Patience,Experimental / Rock,Ba Da Bing,"October 19, 2010",Marc Masters,7.8
The Brian Jonestown Massacre,Aufheben,Rock,A,"May 2, 2012",Stuart Berman,6.3
Syclops,I've Got My Eye on You,Electronic,Syclops,"July 2, 2008",Brian Howe,8.2
Aberfeldy,Young Forever,Rock,Rough Trade,"August 30, 2004",Marc Hogan,3.4
Roots Manuva,Slime & Reason,Electronic / Jazz / Rap,Big Dada,"September 2, 2008",Ian Cohen,7.1
Prince,Diamonds and Pearls (Super Deluxe Edition),Pop/R&B / Rock,Warner,"October 30, 2023",Rich Juzwiak,7.8
Bloc Party,Alpha Games,Rock,Infectious / BMG,"May 6, 2022",Patrick Lyons,5.2
Lorenzo Senni,Scacco Matto,Electronic,Warp,"April 29, 2020",Chal Ravens,7.6
Neotropic,White Rabbits,Electronic / Jazz,Mush,"August 15, 2004",David Moore,7.7
Don Caballero,Punkgasm,Experimental / Metal / Rock,Relapse,"January 7, 2009",Brian Howe,4.8
Kassem Mosse,workshop 32,Electronic,Workshop,"February 6, 2023",Philip Sherburne,7.7
Black Mold,Snow Blindness Is Crystal Antz,Electronic,Flemish Eye,"August 14, 2009",Joe Tangari,6.1
The Good Life,Lovers Need Lawyers EP,Rock,Saddle Creek,"July 28, 2004",Brian Howe,7.3
Illum Sphere,Ghosts of Then and Now,Electronic,Ninja Tune,"February 19, 2014",Brian Howe,7.3
No artist found,No album name found,Folk/Country / Rock,Not found,"March 21, 2023",Nadine Smith,7.7
Laurel Halo,Hour Logic EP,Electronic,Hippos in Tanks,"June 27, 2011",Larry Fitzmaurice,5.8
Hebronix,Unreal,Not found,ATP,"July 17, 2013",Ian Cohen,6.7
Sampha,Dual EP,Pop/R&B,Young Turks,"August 14, 2013",Zach Kelly,7.4
No artist found,"Disco Not Disco: Post Punk, Electro & Leftfield Disco Classics 1974-1986",Not found,Strut,"January 17, 2008",Andy Battaglia,6.2
The Infadels,We Are Not the Infadels,Not found,Wall of Sound,"March 27, 2006",Adam Moerder,5.2
Mavis Staples,Live: Hope at the Hideout,Pop/R&B,Anti-,"November 3, 2008",Amy Granzin,7.6
Arthur Russell,Tower of Meaning,Experimental,Audika,"April 21, 2016",Winston Cook-Wilson,7.0
Willie Nelson,It Always Will Be,Rock,Lost Highway,"November 7, 2004",Stephen M. Deusner,7.8
Amon Tobin,Recorded Live,Electronic / Jazz,Ninja Tune / Solid Steel,"August 3, 2004",Jonathan Zwickel,7.4
Kamaiyah,A Good Night in the Ghetto,Rap,self-released,"March 24, 2016",Jayson Greene,8.2
Andrew Tuttle,Fleeting Adventure,Folk/Country / Electronic,Basin Rock,"August 9, 2022",Ted Davis,7.6
The Concretes,In Colour,Rock,Astralwerks,"March 26, 2006",Ryan Dombal,4.7
Laurie Anderson,Songs From the Bardo,Experimental / Folk/Country,Smithsonian Folkways,"September 27, 2019",Ruth Saxelby,8.4
FKA twigs,M3LL155X,Electronic / Pop/R&B,Young Turks,"August 19, 2015",Anupa Mistry,8.6
Arushi Jain,Under the Lilac Sky,Electronic,Leaving,"July 28, 2021",Bhanuj Kappal,7.6
The Besnard Lakes,Volume 1,Rock,Break Glass,"November 13, 2007",Stuart Berman,6.4
Tindersticks,Claire Denis Film Scores 1996-2009,Rock,Constellation,"April 28, 2011",Joe Tangari,7.0
Damien Jurado,Saint Bartlett,Rock,Secretly Canadian,"May 26, 2010",Larry Fitzmaurice,7.9
King Kong,Buncha Beans,Global,Drag City,"June 13, 2007",Brandon Stosuy,4.8
Lesbian,Forestelevision,Not found,Translation Loss,"August 2, 2013",Grayson Haver Currin,5.0
Jens Lekman,Life Will See You Now,Rock,Secretly Canadian,"February 22, 2017",Matthew Ismael Ruiz,8.0
